                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "x86_64-macos-24.10.1"                                 "CRMATH"                               "20250626"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4               log_total_angular_momentum                              num_retries                                num_iters                    total_torque_envelope 
                                     293                                      913                  3.2259162782820727E+005                  4.2016033701930686E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  2.2494656075524451E+000                  2.7960360775153836E-001                  7.8129132972254434E-008                  9.9999996711165628E-001                  9.9999995835464472E-001                  1.0000000000000000E+000                  7.8129132972254434E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6774438487303129E+000                 -3.4177536828925874E+001                 -3.0694197587165037E+000                  3.6774439265197567E+000                  1.0090254840965112E+000                  3.6765109547081787E+000                 -3.4177536828925874E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4078117619205850E+033                  4.8684422266502683E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3095522252502647E+000                  3.3203637690049064E+000                  5.6373059486641952E-001                  4.2136964245622375E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6518862162337083E+001                  9.3021316457883441E-001                  7.4370117849517126E+000                  6.1229343830640071E-001                  8.5481058101849561E-001                  1.2846976476655896E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0966144889025307E-001                  2.7002086911751949E-001                  1.3763705491000203E-003                  9.6422231651721157E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6791151318518143E+000                  2.1600548888613678E+000                 -9.8999999999999986E+001                                        0                                        7                  0.0000000000000000E+000 
                                     294                                      896                  3.3531766997390229E+005                  4.1046933571850124E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.2828978199540768E+000                  4.0866106573334515E-001                  7.8129133083276736E-008                  9.9999999735677336E-001                  9.9999980949648648E-001                  1.0000000000000000E+000                  7.8129133083276736E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3737431096821635E+000                 -3.5014303472540227E+001                 -3.4613643822763844E+000                  3.3737431731679912E+000                  9.0426892556170912E-001                  3.3722672405390814E+000                 -3.5014303472540227E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7786698762768052E+033                  4.1597106281880581E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2635494020347240E+000                  3.2810650549609863E+000                  6.3608688427554161E-001                  4.0689838457439933E+000                  0.0000000000000000E+000                  1.0607149059015094E-004                  6.1227919279544796E-001                  3.3553095471665739E+002                  1.6474503114628085E+001                  9.0418365143836410E-001                  7.4197652666804181E+000                  6.1229590762890895E-001                  8.5480842339267282E-001                  1.2847049573878999E+000                  1.3629873751108056E-004                  6.5779553192485851E-002                  7.0965696213782925E-001                  2.7002085865680070E-001                  1.3515025580142987E-003                  9.6422756970435206E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6787642307790742E+000                  2.1600752103978080E+000                  5.2030472380512613E+001                                        0                                        5                  8.5658869862192168E-066 
                                     295                                      880                  3.4549850369045825E+005                  4.0077833441769561E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  2.4033722310560961E+000                  2.9913586463180486E-001                  7.8129133527365946E-008                  9.9999999975696896E-001                  9.9999999930686634E-001                  1.0000000000000000E+000                  7.8129133527365946E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3488404548408064E+000                 -3.4762729203872375E+001                 -3.3434611415094526E+000                  3.3488405430436674E+000                  1.0127708468009617E+000                  3.3468326651899778E+000                 -3.4762729203872375E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7443579368701898E+033                  4.1719076115923416E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2867469894374279E+000                  3.3591311486944235E+000                  6.2872475633685176E-001                  4.0837081016213723E+000                  0.0000000000000000E+000                  1.0710851223722154E-004                  6.0675800757908671E-001                  3.3287907832231173E+002                  1.6495146504965092E+001                  9.1980401813905999E-001                  7.4248352486302158E+000                  6.1234615356365485E-001                  8.5476480475413086E-001                  1.2848541653945769E+000                  1.0636514668249943E-004                  5.0375871931622539E-002                  7.0956458041164505E-001                  2.7002857155821919E-001                  8.6985060554960192E-004                  9.6412846142268083E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6785108234280699E+000                  2.1600963515129541E+000                  5.1925767092507904E+001                                        0                                       10                  1.0220053171426735E-065 
                                     296                                      888                  3.5364317066370306E+005                  3.9108733311688995E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  2.2521622783886852E+000                  2.7960360775153875E-001                  7.8129133360832492E-008                  9.9999990906020053E-001                  9.9999988008740304E-001                  1.0000000000000000E+000                  7.8129133360832492E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2806292252948106E+000                 -3.4534551429327699E+001                 -3.2388120036225216E+000                  3.2806293566184821E+000                  1.0948770502322496E+000                  3.2777883524311155E+000                 -3.4534551429327699E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6164517635509437E+033                  4.0615440607201882E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2921415538932948E+000                  3.3845432602222818E+000                  6.3064168318904723E-001                  4.0798742479169823E+000                  0.0000000000000000E+000                  1.0509509153741935E-004                  5.9868831435810288E-001                  3.2740905782200269E+002                  1.6518086291648462E+001                  9.3862913098726330E-001                  7.4291999429443845E+000                  6.1238100813524143E-001                  8.5473520553225080E-001                  1.2849587536026759E+000                  1.0888346474837650E-004                  5.0451511608924415E-002                  7.0949911003890875E-001                  2.7003692918062172E-001                  5.6160610057146086E-004                  9.6402417572569263E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6783410027264640E+000                  2.1601179930390684E+000                  5.1928225568268594E+001                                        0                                       10                  1.0511261311577591E-065 
                                     297                                      888                  3.6015890424229892E+005                  3.8139633181608432E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  2.0363812133615586E+000                  2.5293224548848281E-001                  7.8129133527365946E-008                  9.9999991974837510E-001                  9.9999987429284354E-001                  1.0000000000000000E+000                  7.8129133527365946E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2251526671364190E+000                 -3.4207911993319499E+001                 -3.0911019217177951E+000                  3.2251528768031954E+000                  1.1762977668061341E+000                  3.2212543505001205E+000                 -3.4207911993319499E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5136563427116018E+033                  3.9619696493633234E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2989065726213855E+000                  3.4078675298232652E+000                  6.2877378053335731E-001                  4.0836100532283615E+000                  0.0000000000000000E+000                  1.0624966083123662E-004                  6.0262507272054966E-001                  3.2971591945751578E+002                  1.6547354341487267E+001                  9.6184583546343749E-001                  7.4354417955799450E+000                  6.1240696379574311E-001                  8.5471305016207499E-001                  1.2850364514626942E+000                  1.0903009988784603E-004                  4.9175286779927246E-002                  7.0944956151218852E-001                  2.7004687029286700E-001                  3.5297839110440238E-004                  9.6390044908204082E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6782229453470379E+000                  2.1601415906728660E+000                  5.1918575083042420E+001                                        0                                       10                  1.0956079685508245E-065 
                                     298                                      892                  3.6642689581960515E+005                  3.7971284042081859E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  1.8572879110942322E+000                  2.3147279344938487E-001                  7.8129133638388248E-008                  9.9999992839095320E-001                  9.9999988060914680E-001                  1.0000000000000000E+000                  7.8129133638388248E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1675780134399791E+000                 -3.3777648995920195E+001                 -2.9022588539898795E+000                  3.1675783832232494E+000                  1.2614688909202838E+000                  3.1621532004429644E+000                 -3.3777648995920195E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4097144835620942E+033                  3.7986261599603568E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3066815669277405E+000                  3.4293002672570623E+000                  6.2394016063754643E-001                  4.0932772930199839E+000                  0.0000000000000000E+000                  1.0806988409491580E-004                  6.0357158323004589E-001                  3.3162954576391110E+002                  1.6584041121902843E+001                  9.9069725873637404E-001                  7.4434723294521641E+000                  6.1242972530142947E-001                  8.5469295787375610E-001                  1.2851034918278177E+000                  1.1045438101517271E-004                  4.8178844474957051E-002                  7.0940521755761399E-001                  2.7006191665270396E-001                  2.0033583041678330E-004                  9.6370985278040680E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6781247751388122E+000                  2.1601746334560006E+000                  5.1908987624700288E+001                                        0                                       10                  1.1297361952824349E-065 
                                     299                                      898                  3.7168248484606820E+005                  3.7206213971686197E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  1.6741087965623416E+000                  2.0707942017310010E-001                  7.8129133416343644E-008                  9.9999993263900011E-001                  9.9999988513734750E-001                  1.0000000000000000E+000                  7.8129133416343644E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1259080032223374E+000                 -3.3343656698907886E+001                 -2.7187905388950022E+000                  3.1259086242135559E+000                  1.3297325931983384E+000                  3.1189079031270484E+000                 -3.3343656698907886E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3233521028801053E+033                  3.6895549654847776E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3136693568018298E+000                  3.4460039804807705E+000                  6.1831643750122200E-001                  4.1045247392926321E+000                  0.0000000000000000E+000                  1.1011288396951468E-004                  6.0359969571263661E-001                  3.3349491805934423E+002                  1.6619419777559042E+001                  1.0183916341802519E+000                  7.4513227712037384E+000                  6.1244788775791548E-001                  8.5467595936157104E-001                  1.2851553907201172E+000                  1.1199426203672614E-004                  4.7307959382578695E-002                  7.0936887014170447E-001                  2.7008172741220626E-001                  1.1444550262125867E-004                  9.6345202864908178E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6780511091828263E+000                  2.1602141580349978E+000                  5.1900251592754557E+001                                        0                                        5                  1.1681046973920960E-065 
                                     300                                      898                  3.7620640479335672E+005                  3.6555149112935474E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  1.5378482180953554E+000                  1.9056303562167576E-001                  7.8129133416343644E-008                  9.9999994084212518E-001                  9.9999989066760142E-001                  1.0000000000000000E+000                  7.8129133416343644E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1260469740363361E+000                 -3.2944118340462623E+001                 -2.5556986177631535E+000                  3.1260478777654384E+000                  1.3768280937807300E+000                  3.1182403566806576E+000                 -3.2944118340462623E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3085744137785924E+033                  4.2526522621334349E+033                  4.3285193123519428E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.9452403655584773E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3195524331835573E+000                  3.4581257922398980E+000                  6.1261119061733094E-001                  4.1159352330604149E+000                  0.0000000000000000E+000                  1.1221816058478955E-004                  6.0339742864058976E-001                  3.3538595503215981E+002                  1.6650149920656993E+001                  1.0422017396173644E+000                  7.4583520073937999E+000                  6.1246396867646347E-001                  8.5465992158591431E-001                  1.2851997102569646E+000                  1.1346432946791140E-004                  4.6626537345904447E-002                  7.0933576654449326E-001                  2.7010695131252815E-001                  7.3427983042654237E-005                  9.6311468240272095E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6779885597051436E+000                  2.1602606708572694E+000                  5.1892972435347296E+001                                        0                                        5                  1.2034645782801852E-065 
                                     301                                      903                  3.8035407711940090E+005                  3.6178044389870152E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  1.4907063495310686E+000                  1.8397181824195930E-001                  7.8129133416343644E-008                  9.9999994611556264E-001                  9.9999989167652203E-001                  1.0000000000000000E+000                  7.8129133416343644E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1712842389716895E+000                 -3.2593783721523423E+001                 -2.4166381511796304E+000                  3.1712853606320195E+000                  1.4089087601059578E+000                  3.1637126131243067E+000                 -3.2593783721523423E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3857729993747972E+033                  5.6527409624604339E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3242677737650430E+000                  3.4657833763078409E+000                  6.0700930148833054E-001                  4.1271390113184152E+000                  0.0000000000000000E+000                  1.1434057523076911E-004                  6.0314169121101191E-001                  3.3731717320488463E+002                  1.6675045387259075E+001                  1.0610846577201456E+000                  7.4643984888476318E+000                  6.1248030148065069E-001                  8.5464291558262828E-001                  1.2852435389139363E+000                  1.1484055372839394E-004                  4.6174917020335118E-002                  7.0930147308713920E-001                  2.7013812157516293E-001                  5.6913116042405938E-005                  9.6268817191463851E-003                  3.4309646673614416E-003                  9.6450934782526358E-003                  5.6779254618552804E+000                  2.1603163444824243E+000                  5.1887417634547816E+001                                        0                                        4                  1.2129867093813952E-065 
