                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250717"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                              cz_bot_mass                            cz_bot_radius                                  cz_zone                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                         mass_max_eps_nuc                       radius_max_eps_nuc                                    mdisc                                    rdisc                              cz_eps_grav 
                                     553                                     1403                  1.3108177664507134E+009                  5.1577677002859463E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997656171069E-001                  1.5106181403728539E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997656171069E-001                  1.5106181403728539E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2076529188897343E-001                                      661                  1.6047715434368381E+000                 -1.1736685695379670E+001                 -1.0865561193372470E+001                  1.6047715434370049E+000                 -1.0180712907724705E+000                  1.6037353054875636E+000                 -1.1736685695379670E+001                  4.8039985841957362E+032                  4.8148630396532422E+032                  4.8778420836732584E+032                  4.8998327532740167E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4321626447655509E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6799046951749155E+000                  1.6073553959327691E+000                  9.6652146848104969E-001                  2.7721964187440475E+000                  0.0000000000000000E+000                  2.1126633380242168E+001                  5.1583981794367579E+000                  7.6808562773825644E+000                  1.3398616142205786E+000                  5.0000000000000000E-001                  4.0593355668557631E+000                  0.0000000000000000E+000                  9.8050359893037364E-001                  1.0376308662577052E-004                  8.9331697874504346E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1054274422033459E+000                  7.0683998968657547E-001                                        0                                        5                  2.4348018771063445E-001                  3.3883523687884012E-002                  2.8003276946973871E-001                  7.2076529188897343E-001                 -3.4499813924451850E-001 
                                     554                                     1400                  1.3109903299529464E+009                  5.2369489463335706E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5103035653599128E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5103035653599128E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2144479815143914E-001                                      661                  1.6067863885535842E+000                 -1.1737806354986910E+001                 -1.0866467862766291E+001                  1.6067863885537499E+000                 -1.0202755665704344E+000                  1.6057601806406836E+000                 -1.1737806354986910E+001                  4.8067986699892601E+032                  4.8176967333844474E+032                  4.8803387556230096E+032                  4.9022854093042699E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4334248863198440E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6797965539197350E+000                  1.6092778607434208E+000                  9.6769898339673666E-001                  2.7698413889126736E+000                  0.0000000000000000E+000                  2.1128481509549818E+001                  5.1596238383598578E+000                  7.6807143470324784E+000                  1.3398616142205813E+000                  5.0000000000000000E-001                  4.0593355668557889E+000                  0.0000000000000000E+000                  9.8050359893036632E-001                  1.0376308661550472E-004                  8.9331697876248622E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1053571429012168E+000                  7.0691038840772191E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2144479815143914E-001                 -3.5519811346133034E-001 
                                     555                                     1401                  1.3111974061556263E+009                  5.3161301923811957E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5098636315471883E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5098636315471883E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2243100811225003E-001                                      661                  1.6093049758411697E+000                 -1.1739588867615131E+001                 -1.0867603867813449E+001                  1.6093049758413340E+000                 -1.0239200834858067E+000                  1.6082932449296898E+000                 -1.1739588867615131E+001                  4.8099282971865360E+032                  4.8208826061074692E+032                  4.8833403559553482E+032                  4.9051957319862918E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4348305644143967E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6796600827804444E+000                  1.6116896724061691E+000                  9.6917783150669257E-001                  2.7668836926927618E+000                  0.0000000000000000E+000                  2.1130671363396566E+001                  5.1610770647230790E+000                  7.6805352770484419E+000                  1.3398616142205848E+000                  5.0000000000000000E-001                  4.0593355668558191E+000                  0.0000000000000000E+000                  9.8050359893035788E-001                  1.0376308660325067E-004                  8.9331697878329596E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1052722936191250E+000                  7.0699535711233052E-001                                        0                                        5                  2.4377853571437624E-001                  3.3864357794105800E-002                  2.8003276946973871E-001                  7.2243100811225003E-001                 -3.7037793925733370E-001 
                                     556                                     1395                  1.3113678962297397E+009                  5.2316990995558283E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5092703177019112E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5092703177019112E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2259689687328410E-001                                      661                  1.6106707624509833E+000                 -1.1740619121629894E+001                 -1.0868971007920095E+001                  1.6106707624511467E+000                 -1.0245531849387592E+000                  1.6096636828331639E+000                 -1.1740619121629894E+001                  4.8128019756041879E+032                  4.8237094839411430E+032                  4.8859757211123645E+032                  4.9077142232179656E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4365231155894707E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795674530385396E+000                  1.6133432926320679E+000                  9.7018990110345271E-001                  2.7648595534992415E+000                  0.0000000000000000E+000                  2.1132495133543156E+001                  5.1622859007679134E+000                  7.6803971082640849E+000                  1.3398616142205870E+000                  5.0000000000000000E-001                  4.0593355668558431E+000                  0.0000000000000000E+000                  9.8050359893035077E-001                  1.0376308659320016E-004                  8.9331697880035729E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1052022153367327E+000                  7.0706553436871200E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2259689687328410E-001                 -3.1056375505122547E-001 
                                     557                                     1397                  1.3115222065288224E+009                  5.1883949130077207E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5091196360110454E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5091196360110454E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2243335229921235E-001                                      663                  1.6118187070738377E+000                 -1.1741342564964105E+001                 -1.0869427679341673E+001                  1.6118187070740004E+000                 -1.0243111030810483E+000                  1.6108137282895363E+000                 -1.1741342564964105E+001                  4.8154119453871756E+032                  4.8264200009088956E+032                  4.8883103398899780E+032                  4.9100203210927486E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4376132332954498E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795019334237233E+000                  1.6146578711372246E+000                  9.7097822958566160E-001                  2.7632828965348235E+000                  0.0000000000000000E+000                  2.1134154763062160E+001                  5.1633851900072996E+000                  7.6802765489846223E+000                  1.3398616142205897E+000                  5.0000000000000000E-001                  4.0593355668558671E+000                  0.0000000000000000E+000                  9.8050359893034456E-001                  1.0376308658413247E-004                  8.9331697881574591E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1051386194800066E+000                  7.0712922050435945E-001                                        0                                        5                  2.4404245894845544E-001                  3.3838865533184173E-002                  2.8003276946973871E-001                  7.2243335229921235E-001                 -2.6908007335822531E-001 
                                     558                                     1404                  1.3116684928870199E+009                  5.1652038282722641E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5091098716412532E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5091098716412532E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2218594719508256E-001                                      663                  1.6129213149042538E+000                 -1.1741929304088682E+001                 -1.0869427679341673E+001                  1.6129213149044161E+000                 -1.0238696532881284E+000                  1.6119178666756844E+000                 -1.1741929304088682E+001                  4.8179670313123202E+032                  4.8289369627834647E+032                  4.8906525654629981E+032                  4.9122598141624603E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4390189113900018E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6794376151152304E+000                  1.6158154967064171E+000                  9.7168567898724501E-001                  2.7618679977316569E+000                  0.0000000000000000E+000                  2.1135731327105869E+001                  5.1644290364462133E+000                  7.6801644598895651E+000                  1.3398616142205917E+000                  5.0000000000000000E-001                  4.0593355668558875E+000                  1.6811636325948326E-046                  9.8050359893033856E-001                  1.0376308657556128E-004                  8.9331697883028799E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1050781770145082E+000                  7.0718974919058253E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2218594719508256E-001                 -2.5530552148194341E-001 
                                     559                                     1407                  1.3118103961899180E+009                  5.1519925040820862E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5091312465023929E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997540602725E-001                  1.5091312465023929E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973871E-001                  7.2198981723543887E-001                                      663                  1.6140873139839715E+000                 -1.1742488877150780E+001                 -1.0868514816195477E+001                  1.6140873139841336E+000                 -1.0236705982118852E+000                  1.6130860999927388E+000                 -1.1742488877150780E+001                  4.8206396189242294E+032                  4.8314234342457175E+032                  4.8928617374672218E+032                  4.9143495191316773E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4400516544798787E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6793738852277906E+000                  1.6169590652847479E+000                  9.7238492305128899E-001                  2.7604695096035687E+000                  0.0000000000000000E+000                  2.1137259206572455E+001                  5.1654404821458346E+000                  7.6800560654157612E+000                  1.3398616142205941E+000                  5.0000000000000000E-001                  4.0593355668559079E+000                  0.0000000000000000E+000                  9.8050359893033279E-001                  1.0376308656727023E-004                  8.9331697884435172E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1050193877094632E+000                  7.0724862264512978E-001                                        0                                        5                  2.4430064472092441E-001                  3.3886703254011538E-002                  2.8003276946973871E-001                  7.2198981723543887E-001                 -2.5966531370354046E-001 
                                     560                                     1399                  1.3119498129028366E+009                  5.1443148389923490E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997399352536E-001                  1.5091221908364447E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997399352536E-001                  1.5091221908364447E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973832E-001                  7.2189309248456790E-001                                      660                  1.6152563942910674E+000                 -1.1743036243310893E+001                 -1.0870342465318453E+001                  1.6152563942912284E+000                 -1.0235671179528389E+000                  1.6142576367254295E+000                 -1.1743036243310893E+001                  4.8229795632809225E+032                  4.8332437946867840E+032                  4.8950290598452109E+032                  4.9165067298625831E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4414429889204023E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6792816408832727E+000                  1.6180692941844219E+000                  9.7312452619016232E-001                  2.7589903033258221E+000                  0.0000000000000000E+000                  2.1138758543697044E+001                  5.1664328924166183E+000                  7.6799497538096313E+000                  1.3398616142205964E+000                  5.0000000000000000E-001                  4.0593355668559292E+000                  0.0000000000000000E+000                  9.8050359893032701E-001                  1.0376308655914679E-004                  8.9331697885812738E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1049614727200967E+000                  7.0730662076367889E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973832E-001                  7.2189309248456790E-001                 -2.7853709908530244E-001 
                                     561                                     1406                  1.3120875338924458E+009                  5.1390001347151033E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997399352536E-001                  1.5090839565404415E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997399352536E-001                  1.5090839565404415E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8003276946973832E-001                  7.2179772794258257E-001                                      661                  1.6164424658252252E+000                 -1.1743572953385103E+001                 -1.0868514816195477E+001                  1.6164424658253864E+000                 -1.0235439454896460E+000                  1.6154463820946388E+000                 -1.1743572953385103E+001                  4.8254271207207700E+032                  4.8356024000376237E+032                  4.8972293650250289E+032                  4.9185845972835623E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4422462335458586E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6792131668882631E+000                  1.6192527311727045E+000                  9.7385319267432391E-001                  2.7575329703574991E+000                  0.0000000000000000E+000                  2.1140238006676860E+001                  5.1674120074038834E+000                  7.6798449489789009E+000                  1.3398616142205986E+000                  5.0000000000000000E-001                  4.0593355668559488E+000                  2.7770187547019951E-046                  9.8050359893032146E-001                  1.0376308655114393E-004                  8.9331697887169573E-004                  2.6812363323386887E-003                  9.3772541245052150E-003                  1.1049041055467743E+000                  7.0736407047805006E-001                                        0                                        5                  2.4451293080050920E-001                  3.3810213592243586E-002                  2.8003276946973832E-001                  7.2179772794258257E-001                 -2.7767871856872006E-001 
