                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250717"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                              cz_bot_mass                            cz_bot_radius                                  cz_zone                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                         mass_max_eps_nuc                       radius_max_eps_nuc                                    mdisc                                    rdisc                              cz_eps_grav 
                                     677                                     1370                  1.9473267425950000E+009                  5.2448180922565237E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5995676247736762E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5995676247736762E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4642054932287174E-001                                      643                  1.4871074547113170E+000                 -1.7911252602172858E+001                 -9.8999999999999986E+001                  1.4871074547113168E+000                 -9.7632795224126778E-001                  1.4856108849208856E+000                 -1.7911252602172858E+001                  4.5265957041111750E+032                  4.5350232981644356E+032                  4.5849870084246797E+032                  4.6054075808661739E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2885467921454244E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6799285108517648E+000                  1.4887916584503587E+000                  9.0719196838614569E-001                  2.8411676347447479E+000                  0.0000000000000000E+000                  2.1177956037958509E+001                  5.2043343928648094E+000                  7.5363689309850006E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750589E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354110974E-005                  1.0830040498205826E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7417690366478693E-001                  6.4206032135555580E-001                                        0                                        5                  2.2913762881369856E-001                  3.1577628489810591E-002                  2.6432286699964391E-001                  6.4642054932287174E-001                 -2.2641731381893179E-001 
                                     678                                     1365                  1.9475376050887208E+009                  5.3239993383041488E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5994803310120548E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5994803310120548E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4665814587151882E-001                                      643                  1.4888648163104470E+000                 -1.7903058814312978E+001                 -9.8999999999999986E+001                  1.4888648163104470E+000                 -9.7818273067598882E-001                  1.4873806634637916E+000                 -1.7903058814312978E+001                  4.5287963181536287E+032                  4.5371888203958360E+032                  4.5871330243568299E+032                  4.6074388909083282E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2897814813053757E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6798452904697774E+000                  1.4904039429480218E+000                  9.0816455139895402E-001                  2.8392224687191314E+000                  0.0000000000000000E+000                  2.1178892950784405E+001                  5.2049248330421971E+000                  7.5364820619278747E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750589E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354109971E-005                  1.0830040498205839E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7411140380167982E-001                  6.4212595083171153E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4665814587151882E-001                 -2.5107762403429923E-001 
                                     679                                     1370                  1.9477906400811856E+009                  5.4031805843517740E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5992074158599184E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5992074158599184E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4721921027650720E-001                                      644                  1.4911336725147908E+000                 -1.7893599132844109E+001                 -9.8999999999999986E+001                  1.4911336725147903E+000                 -9.8157524357962067E-001                  1.4896687736624870E+000                 -1.7893599132844109E+001                  4.5311711684247153E+032                  4.5396370777839716E+032                  4.5897947137908967E+032                  4.6100048088783658E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2909647250836665E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6797323242517059E+000                  1.4925356888612189E+000                  9.0945635679169412E-001                  2.8366388579336510E+000                  0.0000000000000000E+000                  2.1180000783498684E+001                  5.2056232409286869E+000                  7.5366121155624786E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750589E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354108751E-005                  1.0830040498205856E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7403239296769939E-001                  6.4220511708634875E-001                                        0                                        5                  2.2938456664568907E-001                  3.1593122681193117E-002                  2.6432286699964391E-001                  6.4721921027650720E-001                 -2.7623977233446956E-001 
                                     680                                     1369                  1.9479986762312572E+009                  5.3181388080995546E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5987388349472578E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998060931050E-001                  1.5987388349472578E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4712269720646698E-001                                      644                  1.4923072703299165E+000                 -1.7885222631803842E+001                 -9.8999999999999986E+001                  1.4923072703299163E+000                 -9.8195161908238293E-001                  1.4908475990834569E+000                 -1.7885222631803842E+001                  4.5333231416111170E+032                  4.5418100558020445E+032                  4.5920259033211570E+032                  4.6121514441394523E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2922122755890373E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6796573395945376E+000                  1.4939870142964451E+000                  9.1033198882364397E-001                  2.8348875938697513E+000                  0.0000000000000000E+000                  2.1180936438134335E+001                  5.2062126052339410E+000                  7.5367291703155486E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750589E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354107721E-005                  1.0830040498205867E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7396725733098644E-001                  6.4227038120416469E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4712269720646698E-001                 -2.3052984564889603E-001 
                                     681                                     1369                  1.9481862744624007E+009                  5.2732287391163961E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5987095548958313E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5987095548958313E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4688028814323517E-001                                      644                  1.4933926581264205E+000                 -1.7877444268234118E+001                 -9.8999999999999986E+001                  1.4933926581264201E+000                 -9.8184676506318735E-001                  1.4919362842790780E+000                 -1.7877444268234118E+001                  4.5353248620790138E+032                  4.5438416392918132E+032                  4.5940355098542895E+032                  4.6141709933114520E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2934469647489877E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795963208781499E+000                  1.4951745227444533E+000                  9.1104778048042301E-001                  2.8334560105561932E+000                  0.0000000000000000E+000                  2.1181789227158735E+001                  5.2067495795587382E+000                  7.5368386616875194E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750589E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354106813E-005                  1.0830040498205882E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7390837367270922E-001                  6.4232938134079787E-001                                        0                                        5                  2.2963150447767938E-001                  3.1707282577488054E-002                  2.6432286699964391E-001                  6.4688028814323517E-001                 -2.1001928998325689E-001 
                                     682                                     1366                  1.9483639949885952E+009                  5.2497375904288575E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5985317060488019E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5985317060488019E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4653459212181841E-001                                      644                  1.4943599426903187E+000                 -1.7869883756522530E+001                 -1.3449439791871097E+001                  1.4943599426903191E+000                 -9.8132062636103845E-001                  1.4929050499207526E+000                 -1.7869883756522530E+001                  4.5372885165924201E+032                  4.5458613910606727E+032                  4.5959468881411742E+032                  4.6160379253915456E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2941543387468807E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795428904193059E+000                  1.4962199583165849E+000                  9.1167735918417747E-001                  2.8321968531486843E+000                  0.0000000000000000E+000                  2.1182604788751487E+001                  5.2072629492795839E+000                  7.5369457511818938E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750589E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354105946E-005                  1.0830040498205893E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7385246587132679E-001                  6.4238540014216539E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4653459212181841E-001                 -1.9590972316001362E-001 
                                     683                                     1368                  1.9485366616114841E+009                  5.2372083949142674E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5988320626791402E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5988320626791402E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4624246643494854E-001                                      644                  1.4954165830404789E+000                 -1.7862500922665028E+001                 -1.3750469787535078E+001                  1.4954165830404791E+000                 -9.8102677460401366E-001                  1.4939642476546344E+000                 -1.7862500922665028E+001                  4.5392188991403421E+032                  4.5478488783442122E+032                  4.5977722216275232E+032                  4.6178792792839917E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2952218304164212E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6794895939358003E+000                  1.4972582255935925E+000                  9.1230308578969255E-001                  2.8309453999376539E+000                  0.0000000000000000E+000                  2.1183398324714055E+001                  5.2077624094845705E+000                  7.5370506043667218E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750589E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354105065E-005                  1.0830040498205904E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7379801549230760E-001                  6.4243995885931326E-001                                        0                                        5                  2.2977555154634044E-001                  3.1517765398594071E-002                  2.6432286699964391E-001                  6.4624246643494854E-001                 -1.9996644614729076E-001 
                                     684                                     1362                  1.9487069686669211E+009                  5.2312326401757927E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5988912670677063E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5988912670677063E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4602230205118560E-001                                      645                  1.4965150108312337E+000                 -1.7855183442884172E+001                 -9.8999999999999986E+001                  1.4965150108312335E+000                 -9.8093183736403944E-001                  1.4950660329679355E+000                 -1.7855183442884172E+001                  4.5411438057349535E+032                  4.5496265611057909E+032                  4.5996642347171977E+032                  4.6196486903541049E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2960063724868104E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6794293147519772E+000                  1.4983181876557219E+000                  9.1295362518840240E-001                  2.8296443211402345E+000                  0.0000000000000000E+000                  2.1184182120430805E+001                  5.2082556966295215E+000                  7.5371547890600779E+000                  1.3398728540216609E+000                  5.0000000000000011E-001                  4.0594387374750598E+000                  0.0000000000000000E+000                  9.8047859605546850E-001                  9.5157942354104211E-005                  1.0830040498205915E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7374417310061279E-001                  6.4249390851096755E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4602230205118560E-001                 -2.1006482909015270E-001 
                                     685                                     1369                  1.9488758762444043E+009                  5.2276491332025259E+000                  1.6499999999999999E+000                  3.3515989854574578E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5989119132166202E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997991102341E-001                  1.5989119132166202E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6432286699964391E-001                  6.4585723246365501E-001                                      645                  1.4976574871617880E+000                 -1.7847922855499156E+001                 -9.8999999999999986E+001                  1.4976574871617880E+000                 -9.8103197873623493E-001                  1.4962126561304014E+000                 -1.7847922855499156E+001                  4.5430762831146912E+032                  4.5515897003670786E+032                  4.6014873204410934E+032                  4.6214716075161734E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2969838347384353E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6793718882523718E+000                  1.4994285120968651E+000                  9.1362364040818589E-001                  2.8283042907006677E+000                  0.0000000000000000E+000                  2.1184959225883276E+001                  5.2087447558381719E+000                  7.5372583387284688E+000                  1.3398728540216611E+000                  5.0000000000000000E-001                  4.0594387374750598E+000                  0.0000000000000000E+000                  9.8047859605546805E-001                  9.5157942354103303E-005                  1.0830040498205926E-003                  2.6595700168065080E-003                  9.3780764817879524E-003                  9.7369063245030696E-001                  6.4254755586311185E-001                                        0                                        5                  2.2996075492033294E-001                  3.1505428928906502E-002                  2.6432286699964391E-001                  6.4585723246365501E-001                 -2.1758528890349807E-001 
