                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250717"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                              cz_bot_mass                            cz_bot_radius                                  cz_zone                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                         mass_max_eps_nuc                       radius_max_eps_nuc                                    mdisc                                    rdisc                              cz_eps_grav 
                                     690                                     1349                  2.7255277251358891E+009                  5.3749160550357109E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998388006572E-001                  1.7186138083391164E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998388006572E-001                  1.7186138083391164E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845150E-001                  6.1520849813839962E-001                                      649                  1.3888948945984754E+000                 -1.9440034824518698E+001                 -9.8999999999999986E+001                  1.3888948945984754E+000                 -9.4352155964223616E-001                  1.3868701051991870E+000                 -1.9440034824518698E+001                  4.3508205307579491E+032                  4.3604045189229459E+032                  4.4123345063632262E+032                  4.4352118655469490E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2011300203063836E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6799096263110251E+000                  1.3905122675564805E+000                  8.5809004202068773E-001                  2.8979788023174389E+000                  0.0000000000000000E+000                  2.1119375516298856E+001                  5.1689008816907442E+000                  7.5080671682022206E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815840E-005                  1.3130053220392391E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7349941796471753E-001                  5.9570049362226674E-001                                        0                                        5                  2.2041448382855403E-001                  3.1727879726346608E-002                  2.5848904171845150E-001                  6.1520849813839962E-001                 -1.8620206375261514E-001 
                                     691                                     1360                  2.7258122349822249E+009                  5.4540973010833351E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998388006572E-001                  1.7184901917854917E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998388006572E-001                  1.7184901917854917E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845138E-001                  6.1547576000808835E-001                                      650                  1.3907087790975710E+000                 -1.9427759896463197E+001                 -9.8999999999999986E+001                  1.3907087790975710E+000                 -9.4518587854324232E-001                  1.3887001785958430E+000                 -1.9427759896463197E+001                  4.3532880032774712E+032                  4.3627973682362443E+032                  4.4147618072041334E+032                  4.4375740840624908E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2024018966413378E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6798254374119330E+000                  1.3922232576170099E+000                  8.5911391484913591E-001                  2.8959310566605421E+000                  0.0000000000000000E+000                  2.1120403872748092E+001                  5.1695435949903379E+000                  7.5082547069647685E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815718E-005                  1.3130053220392396E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7342891560416025E-001                  5.9577114874439330E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845138E-001                  6.1547576000808835E-001                 -2.0175513955424382E-001 
                                     692                                     1359                  2.7261536467978272E+009                  5.5332785471309602E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998388006572E-001                  1.7181940445528204E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998388006572E-001                  1.7181940445528204E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845150E-001                  6.1611843362969210E-001                                      650                  1.3931627393347654E+000                 -1.9413579153468490E+001                 -9.8999999999999986E+001                  1.3931627393347654E+000                 -9.4871493275502494E-001                  1.3911816831590125E+000                 -1.9413579153468490E+001                  4.3559032659504321E+032                  4.3655141184434077E+032                  4.4176299145524795E+032                  4.4403474023822109E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2037679860381451E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6797111231315314E+000                  1.3945250435082543E+000                  8.6049343635556175E-001                  2.8931720136476908E+000                  0.0000000000000000E+000                  2.1121616034182821E+001                  5.1703014731775294E+000                  7.5084715930983048E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815583E-005                  1.3130053220392398E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7334383419823147E-001                  5.9585641322172833E-001                                        0                                        5                  2.2065943778936009E-001                  3.1647111944074768E-002                  2.5848904171845150E-001                  6.1611843362969210E-001                 -2.2235147386599588E-001 
                                     693                                     1353                  2.7264343778705363E+009                  5.4482904851643950E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7176264603653008E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7176264603653008E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845116E-001                  6.1612450374218708E-001                                      649                  1.3944814034789705E+000                 -1.9401193913038561E+001                 -9.8999999999999986E+001                  1.3944814034789701E+000                 -9.4914866852774438E-001                  1.3925083430071550E+000                 -1.9401193913038561E+001                  4.3584092470754063E+032                  4.3679207472119477E+032                  4.4200800472368042E+032                  4.4427332550871994E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2049927558421734E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6796245360287632E+000                  1.3960932360477465E+000                  8.6145070683084457E-001                  2.8912574726971250E+000                  0.0000000000000000E+000                  2.1122642421683739E+001                  5.1709427684685281E+000                  7.5086616773512809E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815434E-005                  1.3130053220392400E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7327366199321532E-001                  5.9592673683821429E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845116E-001                  6.1612450374218708E-001                 -1.8996315172531178E-001 
                                     694                                     1360                  2.7266870403674860E+009                  5.4025407837617854E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7175570368060963E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7175570368060963E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845116E-001                  6.1590563421170430E-001                                      649                  1.3956198785468330E+000                 -1.9389716749268960E+001                 -9.8999999999999986E+001                  1.3956198785468330E+000                 -9.4881225524943957E-001                  1.3936504668578999E+000                 -1.9389716749268960E+001                  4.3605616484778647E+032                  4.3701708000122641E+032                  4.4223168142461961E+032                  4.4449556177428399E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2062175256462033E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795640870665074E+000                  1.3973639122438253E+000                  8.6220694285339550E-001                  2.8897450006520233E+000                  0.0000000000000000E+000                  2.1123579695990472E+001                  5.1715281892503677E+000                  7.5088382102489843E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815312E-005                  1.3130053220392402E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7321033994821595E-001                  5.9599019606682180E-001                                        0                                        5                  2.2090439175016627E-001                  3.1661730521441729E-002                  2.5848904171845116E-001                  6.1590563421170430E-001                 -1.6808628396958455E-001 
                                     695                                     1364                  2.7269259875481400E+009                  5.3783019106320129E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7176227880345632E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7176227880345632E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845150E-001                  6.1569481010307814E-001                                      650                  1.3967881658586687E+000                 -1.9378723448460203E+001                 -1.4148409796207115E+001                  1.3967881658586689E+000                 -9.4847343611749590E-001                  1.3948225205178377E+000                 -1.9378723448460203E+001                  4.3627533642203444E+032                  4.3724353033420394E+032                  4.4244394805054570E+032                  4.4470587720711324E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2073480823883912E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795050282191775E+000                  1.3985475318505944E+000                  8.6291687035143994E-001                  2.8883251456559340E+000                  0.0000000000000000E+000                  2.1124471795368809E+001                  5.1720853078037949E+000                  7.5090075614077811E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815231E-005                  1.3130053220392404E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7315029375527997E-001                  5.9605037273867667E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845150E-001                  6.1569481010307814E-001                 -1.6681615230297125E-001 
                                     696                                     1365                  2.7271580055169463E+009                  5.3655216204566960E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7176710645815915E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7176710645815915E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845150E-001                  6.1550864795034466E-001                                      649                  1.3979465191556659E+000                 -1.9367967734724846E+001                 -9.8999999999999986E+001                  1.3979465191556659E+000                 -9.4818222623868142E-001                  1.3959848035158675E+000                 -1.9367967734724846E+001                  4.3648793124267730E+032                  4.3744637323240079E+032                  4.4265052310107477E+032                  4.4490939888957797E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2083137662723387E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6794414664050539E+000                  1.3996993962427451E+000                  8.6361992617576200E-001                  2.8869190340072901E+000                  0.0000000000000000E+000                  2.1125341357230834E+001                  5.1726282992694568E+000                  7.5091734620583610E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815109E-005                  1.3130053220392407E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7309183297998472E-001                  5.9610896083512521E-001                                        0                                        5                  2.2113050309860316E-001                  3.1696693735488307E-002                  2.5848904171845150E-001                  6.1550864795034466E-001                 -1.6989965329291959E-001 
                                     697                                     1367                  2.7273862671977706E+009                  5.3584330109060492E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7177065915738834E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998331454076E-001                  1.7177065915738834E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845150E-001                  6.1538450021314850E-001                                      649                  1.3991753194564782E+000                 -1.9357359602311796E+001                 -9.8999999999999986E+001                  1.3991753194564780E+000                 -9.4811762113343667E-001                  1.3972188673111816E+000                 -1.9357359602311796E+001                  4.3669901559935571E+032                  4.3765715311912876E+032                  4.4285363311095919E+032                  4.4510443880509252E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2094560996472531E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6793839059376983E+000                  1.4009006625124116E+000                  8.6433568024530594E-001                  2.8854875258682022E+000                  0.0000000000000000E+000                  2.1126197950909013E+001                  5.1731631716081772E+000                  7.5093372558296148E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078815000E-005                  1.3130053220392407E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7303415560316699E-001                  5.9616676396925494E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845150E-001                  6.1538450021314850E-001                 -1.7527808908685255E-001 
                                     698                                     1371                  2.7276127682083035E+009                  5.3550701439548707E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998226428033E-001                  1.7176943758295216E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998226428033E-001                  1.7176943758295216E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5848904171845183E-001                  6.1529529400402494E-001                                      652                  1.4004235544934918E+000                 -1.9346826374365669E+001                 -9.8999999999999986E+001                  1.4004235544934915E+000                 -9.4822522684225496E-001                  1.3984732144614469E+000                 -1.9346826374365669E+001                  4.3691513306459475E+032                  4.3787285143293894E+032                  4.4305520738761701E+032                  4.4530719870371884E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2106455395530961E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6793266136564382E+000                  1.4021282803416437E+000                  8.6506407372244154E-001                  2.8840307389139310E+000                  0.0000000000000000E+000                  2.1127048254080648E+001                  5.1736941064979591E+000                  7.5095000406378185E+000                  1.3398863772125205E+000                  5.0000000000000000E-001                  4.0595628720841912E+000                  0.0000000000000000E+000                  9.8044845800565528E-001                  8.6987293078814878E-005                  1.3130053220392411E-003                  2.7037650161956701E-003                  9.3790832863962278E-003                  8.7297675833248578E-001                  5.9622428643156411E-001                                        0                                        5                  2.2131892922230062E-001                  3.1630740908921144E-002                  2.5848904171845183E-001                  6.1529529400402494E-001                 -1.7940878092683971E-001 
