                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250717"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                              cz_bot_mass                            cz_bot_radius                                  cz_zone                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                         mass_max_eps_nuc                       radius_max_eps_nuc                                    mdisc                                    rdisc                              cz_eps_grav 
                                     668                                     1363                  3.0687669854850430E+009                  5.4248287473469512E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7654792557074361E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7654792557074361E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2265570741655474E-001                                      655                  1.3532543237407155E+000                 -1.9782698913955368E+001                 -1.4148409796207115E+001                  1.3532543237407155E+000                 -9.3159686407011422E-001                  1.3509945627148998E+000                 -1.9782698913955368E+001                  4.2895435920740600E+032                  4.2996659147596951E+032                  4.3525698440901821E+032                  4.3766600202075679E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1707131065830457E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6798699889617463E+000                  1.3548610681818161E+000                  8.4034371703191146E-001                  2.9187481954742851E+000                  0.0000000000000000E+000                  2.1093930407572564E+001                  5.1530617507593135E+000                  7.5025274609407786E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332536522E-005                  1.4241602126844964E-003                  2.7246226647760869E-003                  9.3793607116320291E-003                  8.3989691490803520E-001                  5.8028553940966732E-001                                        0                                        5                  2.1737021847136342E-001                  3.1808038998526529E-002                  2.5812011710978022E-001                  6.2265570741655474E-001                 -1.7394529993378455E-001 
                                     669                                     1360                  3.0690861466145711E+009                  5.5040099933945763E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7653256382708676E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7653256382708676E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2311409367962378E-001                                      655                  1.3552313708457318E+000                 -1.9769701280133869E+001                 -9.8999999999999986E+001                  1.3552313708457315E+000                 -9.3354149091162519E-001                  1.3529919760437055E+000                 -1.9769701280133869E+001                  4.2920167383126078E+032                  4.3021020684305743E+032                  4.3551330334331990E+032                  4.3792227316387979E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1723331412950392E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6797828750441322E+000                  1.3567111029914471E+000                  8.4144296227195681E-001                  2.9165497049941940E+000                  0.0000000000000000E+000                  2.1095025565572385E+001                  5.1537460737185992E+000                  7.5027270504454986E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332536440E-005                  1.4241602126844964E-003                  2.7246226647760869E-003                  9.3793607116320291E-003                  8.3982402816312796E-001                  5.8035858815691366E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2311409367962378E-001                 -1.8985139105764673E-001 
                                     670                                     1366                  3.0694691399700041E+009                  5.5831912394422005E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7649633903252865E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7649633903252865E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2388512289018716E-001                                      655                  1.3577269068586506E+000                 -1.9754579595557555E+001                 -9.8999999999999986E+001                  1.3577269068586506E+000                 -9.3697980528257929E-001                  1.3555179786814375E+000                 -1.9754579595557555E+001                  4.2948333538007722E+032                  4.3049593666529331E+032                  4.3581502401476245E+032                  4.3820379903801414E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1735196455911521E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6796693867887504E+000                  1.3591026984609409E+000                  8.4286573651746655E-001                  2.9137041565031745E+000                  0.0000000000000000E+000                  2.1096321163396709E+001                  5.1545559156494001E+000                  7.5029592959826363E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332536359E-005                  1.4241602126844966E-003                  2.7246226647760869E-003                  9.3793607116320291E-003                  8.3973606086625419E-001                  5.8044674972428401E-001                                        0                                        5                  2.1768966193570066E-001                  3.1926708718313067E-002                  2.5812011710978022E-001                  6.2388512289018716E-001                 -2.0358199605501845E-001 
                                     671                                     1363                  3.0697844020092878E+009                  5.4986716804781093E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7644058796797693E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7644058796797693E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2401241372302030E-001                                      655                  1.3591618951670597E+000                 -1.9741398000591222E+001                 -9.8999999999999986E+001                  1.3591618951670597E+000                 -9.3747403843899468E-001                  1.3569627825511523E+000                 -1.9741398000591222E+001                  4.2973552303131889E+032                  4.3074334946565581E+032                  4.3607241059009614E+032                  4.3845654878090053E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1747974194485051E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795916434425564E+000                  1.3607751754000379E+000                  8.4385746167940268E-001                  2.9117207061793025E+000                  0.0000000000000000E+000                  2.1097417658954981E+001                  5.1552408800009069E+000                  7.5031621056578146E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332536264E-005                  1.4241602126844968E-003                  2.7246226647760869E-003                  9.3793607116320291E-003                  8.3966341073994555E-001                  5.8051956073115474E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2401241372302030E-001                 -1.7455433113182489E-001 
                                     672                                     1369                  3.0700683472312746E+009                  5.4532345651044976E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7643078360620962E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998462155359E-001                  1.7643078360620962E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2393010229689472E-001                                      655                  1.3604114080225753E+000                 -1.9729165283012943E+001                 -1.3546349804879153E+001                  1.3604114080225760E+000                 -9.3724745670804999E-001                  1.3582174821602253E+000                 -1.9729165283012943E+001                  4.2997647461510648E+032                  4.3098228974554731E+032                  4.3630751003727639E+032                  4.3869751033400397E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1763261845992621E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6795290769456463E+000                  1.3621365421984812E+000                  8.4466327807244468E-001                  2.9101090733932184E+000                  0.0000000000000000E+000                  2.1098427471344628E+001                  5.1558713866773225E+000                  7.5033534380587783E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332536183E-005                  1.4241602126844968E-003                  2.7246226647760869E-003                  9.3793607116320291E-003                  8.3959778870758495E-001                  5.8058532863291534E-001                                        0                                        5                  2.1789958192655132E-001                  3.1788464132974002E-002                  2.5812011710978022E-001                  6.2393010229689472E-001                 -1.5856160902980268E-001 
                                     673                                     1371                  3.0703367378123193E+009                  5.4287672705428625E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643318762403404E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643318762403404E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2381181373916006E-001                                      655                  1.3616311194105142E+000                 -1.9717446665445731E+001                 -9.8999999999999986E+001                  1.3616311194105142E+000                 -9.3685653908504152E-001                  1.3594413869367490E+000                 -1.9717446665445731E+001                  4.3019930753536937E+032                  4.3121078379615539E+032                  4.3653095545243376E+032                  4.3890858284920302E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1772388802116538E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6794716045813516E+000                  1.3633897409046591E+000                  8.4540482215412349E-001                  2.9086259852298610E+000                  0.0000000000000000E+000                  2.1099381662891506E+001                  5.1564671708684733E+000                  7.5035342034889769E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332536115E-005                  1.4241602126844968E-003                  2.7246226647760865E-003                  9.3793607116320291E-003                  8.3953558685486329E-001                  5.8064766922272426E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2381181373916006E-001                 -1.5457980661803092E-001 
                                     674                                     1369                  3.0705974932476888E+009                  5.4162333699321827E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643686685761154E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643686685761154E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2374502463157844E-001                                      655                  1.3628997936451397E+000                 -1.9705979358567287E+001                 -1.4449439791871097E+001                  1.3628997936451397E+000                 -9.3662754243728630E-001                  1.3607153101934111E+000                 -1.9705979358567287E+001                  4.3042580084580124E+032                  4.3143443165358338E+032                  4.3674826254306645E+032                  4.3912236865642615E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1785508801544728E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6794139288087724E+000                  1.3646413634456431E+000                  8.4614598496977389E-001                  2.9071436595985602E+000                  0.0000000000000000E+000                  2.1100312066188739E+001                  5.1570480589677423E+000                  7.5037111472856557E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332536047E-005                  1.4241602126844968E-003                  2.7246226647760869E-003                  9.3793607116320291E-003                  8.3947497756502176E-001                  5.8070841399327988E-001                                        0                                        5                  2.1815970017608380E-001                  3.1895959267004198E-002                  2.5812011710978022E-001                  6.2374502463157844E-001                 -1.5858243738125363E-001 
                                     675                                     1369                  3.0708537114078784E+009                  5.4086099083542933E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643674863230985E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643674863230985E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2370986920362526E-001                                      655                  1.3641746673558712E+000                 -1.9694677654839161E+001                 -1.3972318537151434E+001                  1.3641746673558715E+000                 -9.3657881499967188E-001                  1.3619963581428172E+000                 -1.9694677654839161E+001                  4.3064766559827651E+032                  4.3166368204569916E+032                  4.3696179227533181E+032                  4.3933210132480353E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1794065322910924E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6793557324997814E+000                  1.3658995752821705E+000                  8.4689148350601862E-001                  2.9056526625260708E+000                  0.0000000000000000E+000                  2.1101227687681604E+001                  5.1576197024136841E+000                  7.5038855657497683E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332535966E-005                  1.4241602126844968E-003                  2.7246226647760865E-003                  9.3793607116320291E-003                  8.3941524772876075E-001                  5.8076827748690529E-001                                        0                                        5                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2370986920362526E-001                 -1.6201778952728579E-001 
                                     676                                     1368                  3.0711069273851862E+009                  5.4034911051278511E+000                  1.4500000000000000E+000                  3.3459873912595647E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643484232641990E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998394774625E-001                  1.7643484232641990E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5812011710978022E-001                  6.2373743475774757E-001                                      655                  1.3654962323770565E+000                 -1.9683494826731728E+001                 -1.3750469787535078E+001                  1.3654962323770570E+000                 -9.3671770486447192E-001                  1.3633252544351868E+000                 -1.9683494826731728E+001                  4.3086707305416760E+032                  4.3188244593531530E+032                  4.3716755661240202E+032                  4.3953915271829263E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1805930365872050E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6792956541633064E+000                  1.3671906084311574E+000                  8.4765715675346276E-001                  2.9041213160311821E+000                  0.0000000000000000E+000                  2.1102133168434690E+001                  5.1581850104814579E+000                  7.5040581695057087E+000                  1.3398928440190743E+000                  5.0000000000000000E-001                  4.0596222352050688E+000                  0.0000000000000000E+000                  9.8043404978240112E-001                  8.3903151332535912E-005                  1.4241602126844968E-003                  2.7246226647760869E-003                  9.3793607116320291E-003                  8.3935603780330181E-001                  5.8082761994719034E-001                                        0                                        5                  2.1839243755724400E-001                  3.1943995900042974E-002                  2.5812011710978022E-001                  6.2373743475774757E-001                 -1.6781727620468079E-001 
