                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "x86_64-macos-24.10.1"                                 "CRMATH"                               "20250626"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4               log_total_angular_momentum                              num_retries                                num_iters                    total_torque_envelope 
                                     287                                      914                  6.5438722662302805E+005                  4.4107548047198559E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.5344673963439484E+000                  2.5376116722834552E-001                  7.8127227683827405E-008                  9.9999999991087518E-001                  9.9999999970315778E-001                  1.0000000000000000E+000                  7.8127227683827405E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2806342828275326E+000                 -3.5258921126182265E+001                 -3.6373971900644584E+000                  3.2806343352784166E+000                  9.1678663629041912E-001                  3.2787511633114046E+000                 -3.5258921126182265E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3708672766041660E+033                  3.2072314508036242E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2326381046606674E+000                  2.8660768369088614E+000                  4.9041536999759222E-001                  4.2353881376915918E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6624215318814866E+001                  1.0709196080889609E+000                  7.4092081680538753E+000                  6.1228260427711845E-001                  8.5482003958697650E-001                  1.2846655635208681E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0968167275762739E-001                  2.7001721240863957E-001                  1.4726619562185966E-003                  9.6430011447220382E-003                  3.4309646673614407E-003                  9.6450934782526393E-003                  4.2594227655200037E+000                  1.6200314531523479E+000                 -9.8999999999999986E+001                                        0                                        7                  0.0000000000000000E+000 
                                     288                                     1761                  6.6468669470467500E+005                  4.0128147960478184E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  2.3393792322936728E+000                  3.8951173904498548E-001                  3.9063611120132569E-008                  1.0000000000000000E+000                  9.9999222844408364E-001                  1.0000000000000000E+000                  3.9063611120132569E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9258439067916600E+000                 -3.6261006378099360E+001                 -4.1407749323843150E+000                  2.9258439440450204E+000                  7.2206025329991019E-001                  2.9231189323539941E+000                 -3.6261006378099360E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8694748132785611E+032                  2.5579527024964328E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1139532654512196E+000                  2.7045421028702505E+000                  6.4701768139718241E-001                  3.9221835148924118E+000                  0.0000000000000000E+000                  1.1376244571653109E-004                  8.0854843456435510E-001                  3.8651937137584167E+002                  1.6568439855425289E+001                  1.0378176631322342E+000                  7.3873940531223452E+000                  6.1232245928041784E-001                  8.5484675702770418E-001                  1.2845784133898734E+000                  1.9204017822127157E-004                  7.8944518219404139E-002                  7.0973523757012902E-001                  2.7001404901880688E-001                  1.7782313074355455E-003                  9.6434189925639190E-003                  3.4309646673614455E-003                  9.6450934782526358E-003                  4.2593168470888347E+000                  1.6200362943578699E+000                  5.1892015874425695E+001                                        1                                       10                  6.6640257237610024E-066 
                                     289                                     1792                  6.7292626916999242E+005                  3.9159047830397622E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.6487338865175054E+000                  2.7349469798962117E-001                  3.9063611841777535E-008                  1.0000000000000000E+000                  9.9999999999735933E-001                  1.0000000000000000E+000                  3.9063611841777535E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0346590654050578E+000                 -3.5946247964189297E+001                 -3.9818250288334385E+000                  3.0346591072169860E+000                  8.2844297735193539E-001                  3.0319493581606531E+000                 -3.5946247964189297E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0234434549998840E+033                  2.7585152600351008E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2023696533324273E+000                  2.8748235542419738E+000                  5.5532563132062918E-001                  4.1055676150455183E+000                  0.0000000000000000E+000                  1.4499970334345380E-004                  7.7343834203159190E-001                  4.0146014582355389E+002                  1.6583883946185836E+001                  1.0459286661492797E+000                  7.3943829442307250E+000                  6.1229028134572094E-001                  8.5481874825514903E-001                  1.2846668921811166E+000                  1.0693321285575565E-004                  4.3471675604390789E-002                  7.0968090207915080E-001                  2.7001663746385551E-001                  1.4556051692827573E-003                  9.6431063484401208E-003                  3.4309646673614442E-003                  9.6450934782526462E-003                  4.2592135083864227E+000                  1.6200412125880184E+000                  5.1640418862967422E+001                                        1                                       10                  7.9819743484219459E-066 
                                     290                                     1813                  6.7951792874224647E+005                  3.8189947700317060E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.7741363454042085E+000                  2.9472208181221571E-001                  3.9063610787065661E-008                  9.9999999963899933E-001                  9.9999999899942804E-001                  1.0000000000000000E+000                  3.9063610787065661E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9251412219682762E+000                 -3.6178979487335454E+001                 -4.1003336817512377E+000                  2.9251412629235078E+000                  8.0336725547462295E-001                  2.9218477342520379E+000                 -3.6178979487335454E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8572651898059087E+032                  2.5731893938879298E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1839068645668016E+000                  2.8455013828187656E+000                  5.7759012314027702E-001                  4.0610386314062223E+000                  0.0000000000000000E+000                  1.2789493139199142E-004                  7.0616840603656106E-001                  3.6254098122127766E+002                  1.6572781791652240E+001                  1.0402443058557587E+000                  7.3892461819393356E+000                  6.1234339459348897E-001                  8.5480508398758537E-001                  1.2847123234298967E+000                  1.3920424340428274E-004                  5.6984609800005928E-002                  7.0965296426622071E-001                  2.7001808015502432E-001                  1.2994807380369638E-003                  9.6429413737107381E-003                  3.4309646673614446E-003                  9.6450934782526445E-003                  4.2591503844503675E+000                  1.6200444443792126E+000                  5.1759330649735858E+001                                        1                                        4                  7.7363680815095039E-066 
                                     291                                     1805                  6.8479125640004966E+005                  3.7220847570236497E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.5942851839729943E+000                  2.6528509026192731E-001                  3.9063611175643720E-008                  9.9999999966439013E-001                  9.9999999844995668E-001                  1.0000000000000000E+000                  3.9063611175643720E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8973892375896995E+000                 -3.6182968078016188E+001                 -4.1034303523284787E+000                  2.8973892809372637E+000                  8.2228599766875221E-001                  2.8937205212139019E+000                 -3.6182968078016188E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4961078183065757E+032                  2.5449963327877969E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1830615452883864E+000                  2.8686146752099440E+000                  5.9083740789269534E-001                  4.0345440619013857E+000                  0.0000000000000000E+000                  1.2923932931261124E-004                  7.6016589679519475E-001                  3.8253803372662105E+002                  1.6575398355570126E+001                  1.0431358773627251E+000                  7.3890652945033182E+000                  6.1235942628925188E-001                  8.5479302799730350E-001                  1.2847535449182139E+000                  1.3634890025722692E-004                  5.5621166170369836E-002                  7.0962758997431963E-001                  2.7001952022121650E-001                  1.1626366400203534E-003                  9.6427808427928374E-003                  3.4309646673614446E-003                  9.6450934782526428E-003                  4.2591036247102192E+000                  1.6200470940850167E+000                  5.1755054878041506E+001                                        1                                        4                  8.0964372930589475E-066 
                                     292                                     1803                  6.8900991852629220E+005                  3.6251747440155930E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.5098668268088471E+000                  2.5128662886499892E-001                  3.9063611175643720E-008                  9.9999999947493678E-001                  9.9999999857047439E-001                  1.0000000000000000E+000                  3.9063611175643720E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8885452672928209E+000                 -3.6135243693535067E+001                 -4.0801356977560106E+000                  2.8885453139698627E+000                  8.4811821200548876E-001                  2.8845702111389793E+000                 -3.6135243693535067E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3456146701401858E+032                  2.5413256091475182E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1915261813409517E+000                  2.8944746952413549E+000                  5.8683814580327076E-001                  4.0425425860802351E+000                  0.0000000000000000E+000                  1.2938855682152465E-004                  7.5015979627172624E-001                  3.7864614583302335E+002                  1.6580578924616464E+001                  1.0473939791511997E+000                  7.3900203351679634E+000                  6.1235999508244610E-001                  8.5478342785992478E-001                  1.2847870839964715E+000                  1.2830362413571907E-004                  5.2071959982230354E-002                  7.0960691830265354E-001                  2.7002081482885154E-001                  1.0544869034168529E-003                  9.6426394966501201E-003                  3.4309646673614446E-003                  9.6450934782526428E-003                  4.2590672875463724E+000                  1.6200493651916505E+000                  5.1728897677129325E+001                                        1                                        4                  8.2499672954487980E-066 
                                     293                                     1803                  6.9238484822728625E+005                  3.5282647310075368E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.4714892999352835E+000                  2.4509535330196902E-001                  3.9063611175643720E-008                  9.9999999957454611E-001                  9.9999999861045352E-001                  1.0000000000000000E+000                  3.9063611175643720E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8669002907166008E+000                 -3.6127280761550658E+001                 -4.0768445831180777E+000                  2.8669003401521556E+000                  8.6095846076892579E-001                  2.8625950910004518E+000                 -3.6127280761550658E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0689396337782395E+032                  2.5131098393654150E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1912184721852084E+000                  2.9010275287201526E+000                  5.9072998085415596E-001                  4.0347589159784647E+000                  0.0000000000000000E+000                  1.2732521905059024E-004                  7.4691571826670000E-001                  3.7548639736486632E+002                  1.6583324594362413E+001                  1.0501113221650686E+000                  7.3901121423785314E+000                  6.1236768750737858E-001                  8.5477611398656417E-001                  1.2848129884971125E+000                  1.2985493925576146E-004                  5.2534842282930566E-002                  7.0959093239520976E-001                  2.7002190002260762E-001                  9.7266016521022048E-004                  9.6425231157192971E-003                  3.4309646673614446E-003                  9.6450934782526428E-003                  4.2590397855589304E+000                  1.6200512274400554E+000                  5.1734667923085787E+001                                        1                                        4                  8.3271536969877879E-066 
                                     294                                     1803                  6.9643476386847917E+005                  3.6074459770551615E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.4277922561534631E+000                  2.3724429339938374E-001                  3.9063611175643720E-008                  9.9999999956478047E-001                  9.9999999856839006E-001                  1.0000000000000000E+000                  3.9063611175643720E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8500800815432279E+000                 -3.6083284975901009E+001                 -4.0555428973514704E+000                  2.8500801355143319E+000                  8.8334209466886238E-001                  2.8453659547892127E+000                 -3.6083284975901009E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8710898725354028E+032                  2.4959017005860294E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1936511338615343E+000                  2.9154124420029177E+000                  5.9305711414288664E-001                  4.0301046494010029E+000                  0.0000000000000000E+000                  1.2667604937511073E-004                  7.5029736520615908E-001                  3.7582133900241325E+002                  1.6588933812419729E+001                  1.0549292317183412E+000                  7.3909579983833638E+000                  6.1236987993354708E-001                  8.5476762826718655E-001                  1.2848434045680606E+000                  1.2875095089669264E-004                  5.1795166286236982E-002                  7.0957212914574785E-001                  2.7002331946966052E-001                  8.7862727540217599E-004                  9.6423734995000777E-003                  3.4309646673614446E-003                  9.6450934782526428E-003                  4.2590082107333336E+000                  1.6200536038566147E+000                  5.1730002897320070E+001                                        1                                        4                  8.4045850915644911E-066 
                                     295                                     1803                  7.0129466263791069E+005                  3.6866272231027861E+000                  6.0000000000000000E+000                  3.4076657160744311E+001                 -9.8999999999999986E+001                  1.3829776578692086E+000                  2.3021273488966271E-001                  3.9063611175643720E-008                  9.9999999955501484E-001                  9.9999999857999589E-001                  1.0000000000000000E+000                  3.9063611175643720E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8318114258216665E+000                 -3.6010662685586510E+001                 -4.0200377425784897E+000                  2.8318114869067412E+000                  9.1310328139968777E-001                  2.8265426723233373E+000                 -3.6010662685586510E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6172458516261447E+032                  2.4801687986830610E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1968966679316857E+000                  2.9310969315799493E+000                  5.9440829079109991E-001                  4.0274022961045768E+000                  0.0000000000000000E+000                  1.2592693136833768E-004                  7.4962433934720452E-001                  3.7461771193368139E+002                  1.6597179351882346E+001                  1.0618045777692637E+000                  7.3923881478258018E+000                  6.1237104020205446E-001                  8.5475779177464162E-001                  1.2848789861770205E+000                  1.2791335695001938E-004                  5.1047276599750155E-002                  7.0955007472579834E-001                  2.7002523153454983E-001                  7.7112970037226676E-004                  9.6421752958188722E-003                  3.4309646673614446E-003                  9.6450934782526428E-003                  4.2589720727840934E+000                  1.6200567253356348E+000                  5.1724907084930216E+001                                        1                                        4                  8.5017291148941223E-066 
